species	ID	Plot	biomass_across_years	div	sp_plot	species_div_mean	resid_species_div	plotID
PlaLan	07-H3	B3A14	2.06166666666667	60	PlaLan_H3	2.55375	-0.492083333333333	H3
PlaLan	07-H4	B4A01	3.95222222222222	60	PlaLan_H4	2.55375	1.39847222222222	H4
PlaLan	07-L1	B1A16	52.5266666666667	2	PlaLan_L1	38.0424074074074	14.4842592592593	L1
PlaLan	07-L2	B2A20	52.4061111111111	2	PlaLan_L2	38.0424074074074	14.3637037037037	L2
PlaLan	07-L3	B4A04	1.06083333333333	4	PlaLan_L3	1.06083333333333	0	L3
PlaLan	07-L4	B4A04	1.06083333333333	4	PlaLan_L4	1.06083333333333	0	L4
PlaLan	07-L5	B2A13	37.7561111111111	1	PlaLan_L5	37.7561111111111	0	L5
PlaLan	07-L6	B4A14	9.19444444444444	2	PlaLan_L6	38.0424074074074	-28.847962962963	L6
PlaLan	07-M1	B1A01	5.59027777777778	16	PlaLan_M1	1.88259259259259	3.70768518518519	M1
PlaLan	07-M2	B1A20	0.0575	16	PlaLan_M2	1.88259259259259	-1.82509259259259	M2
PlaLan	07-M3	B1A14	25.9791666666667	8	PlaLan_M3	13.0766666666667	12.9025	M3
PlaLan	07-M4	B4A08	0.174166666666667	8	PlaLan_M4	13.0766666666667	-12.9025	M4
PlaLan	07-M5	B2A10	0	16	PlaLan_M5	1.88259259259259	-1.88259259259259	M5
PlaMed	24-H1	B1A22	0	60	PlaMed_H1	0.00486111111111111	-0.00486111111111111	H1
PlaMed	24-H2	B2A03	0	60	PlaMed_H2	0.00486111111111111	-0.00486111111111111	H2
PlaMed	24-H3	B3A14	0	60	PlaMed_H3	0.00486111111111111	-0.00486111111111111	H3
PlaMed	24-H4	B4A01	0.0194444444444444	60	PlaMed_H4	0.00486111111111111	0.0145833333333333	H4
PlaMed	24-L1	B2A19	10.5291666666667	2	PlaMed_L1	10.5291666666667	0	L1
PlaMed	24-L2	B3A03	8.38322222222222	4	PlaMed_L2	4.77466666666667	3.60855555555556	L2
PlaMed	24-L3	B2A16	1.16611111111111	4	PlaMed_L3	4.77466666666667	-3.60855555555556	L3
PlaMed	24-M1	B2A17	15.3236111111111	8	PlaMed_M1	6.29509259259259	9.02851851851852	M1
PlaMed	24-M2	B4A18	1.17	16	PlaMed_M2	3.11277777777778	-1.94277777777778	M2
PlaMed	24-M3	B4A02	0.735277777777778	16	PlaMed_M3	3.11277777777778	-2.3775	M3
PlaMed	24-M4	B2A18	8.82916666666667	16	PlaMed_M4	3.11277777777778	5.71638888888889	M4
PlaMed	24-M5	B4A10	0	8	PlaMed_M5	6.29509259259259	-6.29509259259259	M5
PlaMed	24-M6	B2A21	3.56166666666667	8	PlaMed_M6	6.29509259259259	-2.73342592592593	M6
PlaMed	24-M7	B3A16	1.71666666666667	16	PlaMed_M7	3.11277777777778	-1.39611111111111	M7
PriVer	27-H1	B1A22	0	60	PriVer_H1	0	0	H1
PriVer	27-H2	B2A03	0	60	PriVer_H2	0	0	H2
PriVer	27-H3	B3A14	0	60	PriVer_H3	0	0	H3
PriVer	27-H4	B4A01	0	60	PriVer_H4	0	0	H4
PriVer	27-L1	B2A09	14.4775	4	PriVer_L1	14.4775	0	L1
PriVer	27-M1	B1A03	20.0297222222222	8	PriVer_M1	14.3171111111111	5.71261111111111	M1
PriVer	27-M2	B4A06	15.58	8	PriVer_M2	14.3171111111111	1.26288888888889	M2
PriVer	27-M3	B2A18	5.28166666666667	16	PriVer_M3	7.1025	-1.82083333333333	M3
PriVer	27-M4	B2A10	8.92333333333333	16	PriVer_M4	7.1025	1.82083333333333	M4
PriVer	27-M5	B4A10	8.10805555555556	8	PriVer_M5	14.3171111111111	-6.20905555555555	M5
PriVer	27-M6	B3A07	0	8	PriVer_M6	14.3171111111111	-14.3171111111111	M6
PriVer	27-M7	B4A16	27.8677777777778	8	PriVer_M7	14.3171111111111	13.5506666666667	M7
RanAcr	12-H1	B1A22	1.71111111111111	60	RanAcr_H1	1.70409722222222	0.00701388888888888	H1
RanAcr	12-H2	B2A03	3.40972222222222	60	RanAcr_H2	1.70409722222222	1.705625	H2
RanAcr	12-H3	B3A14	0.445833333333333	60	RanAcr_H3	1.70409722222222	-1.25826388888889	H3
RanAcr	12-H4	B4A01	1.24972222222222	60	RanAcr_H4	1.70409722222222	-0.454375	H4
RanAcr	12-L1	B1A07	11.075	2	RanAcr_L1	15.6022222222222	-4.52722222222222	L1
RanAcr	12-L2	B2A08	20.1294444444444	2	RanAcr_L2	15.6022222222222	4.52722222222222	L2
RanAcr	12-M1	B1A02	0.0280555555555556	8	RanAcr_M1	7.39930555555556	-7.37125	M1
RanAcr	12-M2	B1A11	0.964444444444444	16	RanAcr_M2	2.04616666666667	-1.08172222222222	M2
RanAcr	12-M3	B2A12	14.7705555555556	8	RanAcr_M3	7.39930555555556	7.37125	M3
RanAcr	12-M4	B4A02	2.77805555555556	16	RanAcr_M4	2.04616666666667	0.731888888888889	M4
RanAcr	12-M5	B1A20	2.396	16	RanAcr_M5	2.04616666666667	0.349833333333333	M5
TriFla	03-H1	B1A22	14.4419444444444	60	TriFla_H1	9.08826388888889	5.35368055555556	H1
TriFla	03-H2	B2A03	17.965	60	TriFla_H2	9.08826388888889	8.87673611111111	H2
TriFla	03-H3	B3A14	0.149444444444444	60	TriFla_H3	9.08826388888889	-8.93881944444444	H3
TriFla	03-H4	B4A01	3.79666666666667	60	TriFla_H4	9.08826388888889	-5.29159722222222	H4
TriFla	03-L1	B3A19	2.82611111111111	2	TriFla_L1	3.72291666666667	-0.896805555555555	L1
TriFla	03-L2	B4A11	53.0855555555556	4	TriFla_L2	53.0855555555556	0	L2
TriFla	03-L3	B2A02	4.61972222222222	2	TriFla_L3	3.72291666666667	0.896805555555556	L3
TriFla	03-M1	B2A22	26.2391666666667	16	TriFla_M1	15.96125	10.2779166666667	M1
TriFla	03-M2	B1A06	5.68333333333333	16	TriFla_M2	15.96125	-10.2779166666667	M2
TriFla	03-M3	B1A03	25.9777777777778	8	TriFla_M3	14.3804166666667	11.5973611111111	M3
TriFla	03-M4	B3A04	2.78305555555556	8	TriFla_M4	14.3804166666667	-11.5973611111111	M4
TriPra	21-H1	B1A22	0.197777777777778	60	TriPra_H1	0.394722222222222	-0.196944444444445	H1
TriPra	21-H2	B2A03	0.0361111111111111	60	TriPra_H2	0.394722222222222	-0.358611111111111	H2
TriPra	21-H3	B3A14	0	60	TriPra_H3	0.394722222222222	-0.394722222222222	H3
TriPra	21-H4	B4A01	1.345	60	TriPra_H4	0.394722222222222	0.950277777777778	H4
TriPra	21-L1	B3A21	23.1147222222222	2	TriPra_L1	23.1147222222222	0	L1
TriPra	21-L2	B2A01	4.01972222222222	4	TriPra_L2	4.01972222222222	0	L2
TriPra	21-M1	B1A12	2.77333333333333	8	TriPra_M1	2.77333333333333	0	M1
TriPra	21-M2	B3A24	0	16	TriPra_M2	4.54111111111111	-4.54111111111111	M2
TriPra	21-M3	B4A20	9.08222222222222	16	TriPra_M3	4.54111111111111	4.54111111111111	M3
VerCha	09-H1	B1A22	0.111111111111111	60	VerCha_H1	0.752152777777778	-0.641041666666667	H1
VerCha	09-H2	B2A03	0.12	60	VerCha_H2	0.752152777777778	-0.632152777777778	H2
VerCha	09-H3	B3A14	1.63416666666667	60	VerCha_H3	0.752152777777778	0.882013888888889	H3
VerCha	09-H4	B4A01	1.14333333333333	60	VerCha_H4	0.752152777777778	0.391180555555556	H4
VerCha	09-L1	B3A17	8.58833333333333	1	VerCha_L1	8.58833333333333	0	L1
VerCha	09-M1	B1A20	0.165666666666667	16	VerCha_M1	1.1313	-0.965633333333334	M1
VerCha	09-M2	B4A08	0.0188888888888889	8	VerCha_M2	0.123888888888889	-0.105	M2
VerCha	09-M3	B2A14	0.352777777777778	8	VerCha_M3	0.123888888888889	0.228888888888889	M3
VerCha	09-M4	B4A18	4.44666666666667	16	VerCha_M4	1.1313	3.31536666666667	M4
VerCha	09-M5	B3A22	1.04416666666667	16	VerCha_M5	1.1313	-0.0871333333333335	M5
VerCha	09-M6	B3A16	0	16	VerCha_M6	1.1313	-1.1313	M6
VerCha	09-M7	B1A03	0	8	VerCha_M7	0.123888888888889	-0.123888888888889	M7
VerCha	09-M8	B2A10	0	16	VerCha_M8	1.1313	-1.1313	M8
VicCra	19-H1	B1A22	0	60	VicCra_H1	0.438611111111111	-0.438611111111111	H1
VicCra	19-H2	B2A03	1.29944444444444	60	VicCra_H2	0.438611111111111	0.860833333333333	H2
VicCra	19-H3	B3A14	0.455	60	VicCra_H3	0.438611111111111	0.0163888888888889	H3
VicCra	19-H4	B4A01	0	60	VicCra_H4	0.438611111111111	-0.438611111111111	H4
VicCra	19-L1	B2A16	167.967222222222	4	VicCra_L1	91.4791666666667	76.4880555555556	L1
VicCra	19-L2	B3A03	14.9911111111111	4	VicCra_L2	91.4791666666667	-76.4880555555556	L2
VicCra	19-M1	B2A17	2.36722222222222	8	VicCra_M1	2.36722222222222	0	M1
VicCra	19-M2	B2A22	0.377222222222222	16	VicCra_M2	1.939375	-1.56215277777778	M2
VicCra	19-M3	B3A16	5.625	16	VicCra_M3	1.939375	3.685625	M3
VicCra	19-M4	B3A24	0.671944444444444	16	VicCra_M4	1.939375	-1.26743055555556	M4
VicCra	19-M5	B4A20	1.08333333333333	16	VicCra_M5	1.939375	-0.856041666666667	M5
